image_number,section_placement,file_name,archetype,skill,width,height,audience,status,alt_text,abbreviations,webp_twin
1,hero disc,magnesium-supplements-ckd-vignette-hero.png,Circular vignette hero v3 (Scaffold B still-life),williamriveromd-hero-vignette,2048,2048,patients,REPLACES hero-cat-electrolytes placeholder,"Unbranded magnesium tablets, capsules, powder and bath crystals beside a glass of water on a pale teal surface, top-down.",,magnesium-supplements-ckd-vignette-hero.webp
2,og:image,magnesium-supplements-ckd-og.png,Editorial OG / social share card,williamriveromd-infographic-skill,1200,630,mixed,REPLACES hero-cat-electrolytes placeholder,"Social card: unbranded magnesium still-life beside a dissolving four-cell grid, titled 'Magnesium: what the forms really do'.",,magnesium-supplements-ckd-og.webp
3,§3 Why kidney function changes the answer,magnesium-supplements-ckd-01-gut-kidney-bone-sigil.png,Organ-crosstalk sigil,williamriveromd-organ-crosstalk-sigil-graphic,1024,1024,patients,NEW inline figure,"Monoline sigil: magnesium enters via the gut, is stored in bone, and leaves through the kidneys, with the kidney exit route marked as the one that narrows.",,magnesium-supplements-ckd-01-gut-kidney-bone-sigil.webp
4,§3 clinician depth,magnesium-supplements-ckd-02-renal-handling-mechanism.png,Biomedical mechanism schematic,williamriveromd-biomedical-mechanism-figure,1792,1024,clinicians,NEW inline figure,"Mechanism figure: kidney cross-section, magnified nephron showing where magnesium is reabsorbed, and the narrowing of adaptive excretion in CKD leading to accumulation.",TAL=thick ascending limb; DCT=distal convoluted tubule; CKD=chronic kidney disease,magnesium-supplements-ckd-02-renal-handling-mechanism.webp
5,§3 Hidden magnesium,magnesium-supplements-ckd-03-hidden-sources.png,Multi-panel educational infographic,williamriveromd-infographic-skill,1792,1024,patients,NEW inline figure,"Six cards showing everyday products that contain magnesium without being called supplements: milk of magnesia, antacids, bowel preps, sleep powders, electrolyte mixes, multivitamins.",,magnesium-supplements-ckd-03-hidden-sources.webp
6,§6 The forms,magnesium-supplements-ckd-04-elemental-ladder.png,Reference card - elemental content ladder,williamriveromd-simple-figure,1024,1536,mixed,NEW inline figure,"Bar chart ranking 17 magnesium salts by elemental magnesium content, from oxide at 60.3% down to gluconate at 5.9%, with a footer clarifying that more per gram does not mean better.",Mg=magnesium,magnesium-supplements-ckd-04-elemental-ladder.webp
7,§7 Claim check,magnesium-supplements-ckd-05-claim-check.png,Side-by-side comparison - claim vs evidence,williamriveromd-simple-figure,1792,1024,patients,NEW inline figure,"Six popular magnesium claims in muted grey beside their evidence grade in navy: five Not established, blood pressure Partly supported, constipation Supported.",,magnesium-supplements-ckd-05-claim-check.webp
8,§8 Reading the label,magnesium-supplements-ckd-06-label-explainer.png,Side-by-side comparison - label explainer,williamriveromd-simple-figure,1792,1024,patients,NEW inline figure,"The front of a bottle reading magnesium citrate 1,500 mg beside the Supplement Facts panel reading magnesium 240 mg, showing which number is the actual dose.",,magnesium-supplements-ckd-06-label-explainer.webp
9,§10 Interactions,magnesium-supplements-ckd-07-interaction-spacing.png,Reference card - drug interactions,williamriveromd-simple-figure,1536,1152,mixed,NEW inline figure,"Seven-row table of magnesium drug interactions and what to do, with clock spacing flagged only for tetracycline/quinolone antibiotics and oral bisphosphonates.",PPI=proton pump inhibitor,magnesium-supplements-ckd-07-interaction-spacing.webp
10,§11 Decision pathway,magnesium-supplements-ckd-08-decision-pathway.png,Clinical algorithm (house Style Mode C),williamriveromd-algorithm-generator-skill,1024,1536,patients,NEW inline figure,"Five-step flowchart asking whether magnesium is appropriate at all, where a yes-or-not-sure answer about kidney disease leads straight to a prominent STOP endpoint.",eGFR=estimated glomerular filtration rate,magnesium-supplements-ckd-08-decision-pathway.webp
